ger,eng,fra,ita,cze,rus,pol,spa,por,hun,l10(简体中文),l11(繁体中文),l12(日语),l13(韩语),l14(印地语),l15(阿拉伯语),l16(孟加拉语),l17(印度尼西亚语),l18(土耳其语),l19(斯瓦希里语),META_TYPE,META_DESCRIPTION,META_REFERENCES
Pesthauch,,,,,,,,,,瘟疫之息,,,,,,,,,,抽象,,
Schlangenplage,snake plague,,,,,,,,,蛇灾,,,,,,,,,,灾害,阿拉伯地区的蛇群灾害,campaign_02_01
Schlangenwesen,snake creatures,,,,,,,,,蛇形生物,,,,,,,,,,生物,神秘的蛇类生物,campaign_02_01
Schlangenbiester,snake beasts,,,,,,,,,蛇怪,,,,,,,,,,生物,凶暴的蛇形野兽,campaign_02_01
Schlangenkreaturen,snake creatures,,,,,,,,,蛇怪生物,,,,,,,,,,生物,迫使村民逃离的蛇形生物,campaign_02_01
Schlangenbrut,snake brood,,,,,,,,,蛇裔,,,,,,,,,,生物,被击退但未灭绝的蛇族后代,campaign_02_01
Goldberg,Goldberg,,,,,,,,,金山,,,,,,,,,,地名,南方强大的金矿山地,campaign_02_01
Goldbrocken,gold nuggets,,,,,,,,,金块,,,,,,,,,,物品,可交付的黄金矿石,campaign_02_01
Wachtürme,defence towers,,,,,,,,,哨塔,,,,,,,,,,建筑,设弓箭手的哨塔,campaign_02_01
Langbogenschützen,longbow archers,,,,,,,,,长弓手,,,,,,,,,,军事,拜占庭弩手兵种,campaign_02_01
Sippe,clan,,,,,,,,,氏族,,,,,,,,,,社会组织,比雅尼所属的家族氏族,campaign_02_01
Leif,Leif,,,,,,,,,莱夫,,,,,,,,,,人名,比雅尼之父,campaign_02_01
Schumsali,Schumsali,,,,,,,,,舒姆萨利,,,,,,,,,,地名,北方山后的神秘地穴所在地,campaign_02_02
Katakomben,catacombs,,,,,,,,,地下墓穴,,,,,,,,,,建筑,神秘地下墓穴建筑,campaign_02_02
Hungersnot,famine,,,,,,,,,饥荒,,,,,,,,,,灾害,蛇灾引发的粮食危机,campaign_02_02
Flaschengeist,bottle spirit,,,,,,,,,神灯精灵,,,,,,,,,,神话,瓶中精灵，助主角除灾,campaign_02_02
Herz des Odin,Heart of Odin,,,,,,,,,奥丁之心,,,,,,,,,,物品,奥丁护符，比雅尼赠希拉,campaign_02_02
Gewölbe,vault,,,,,,,,,地穴,,,,,,,,,,建筑,舒姆萨利地穴，藏有神灵,campaign_02_02
Talenge,Talenge,,,,,,,,,峡谷隘口,,,,,,,,,,地名,分隔道路的狭长山谷,campaign_02_02
Labyrinth,Labyrinth,,,,,,,,,迷宫,,,,,,,,,,地名,迷宫般的地带,campaign_02_02
Wegweiser,signpost,,,,,,,,,路标,,,,,,,,,,物品,侦察兵建造的指引物,campaign_02_02
Aladin,Aladin,,,,,,,,,阿拉丁,,,,,,,,,,人名,童话人物，三个愿望谜题引用,campaign_02_02-sub
Fata Morgana,Fata Morgana,,,,,,,,,海市蜃楼,,,,,,,,,,自然,沙漠中的光学幻象,campaign_02_02-sub
Schneehase,snow hare,,,,,,,,,雪兔,,,,,,,,,,生物,谜题错误选项,campaign_02_02-sub
Quastenflosser,coelacanth,,,,,,,,,腔棘鱼,,,,,,,,,,生物,谜题错误选项,campaign_02_02-sub
Schalter,switch,,,,,,,,,开关,,,,,,,,,,物品,地穴中的谜题机关,campaign_02_02-sub
Türmechanismen,door mechanisms,,,,,,,,,机关门,,,,,,,,,,建筑,困住蛇族的机关,campaign_02_02-sub
Futterstelle,feeding place,,,,,,,,,投喂点,,,,,,,,,,物品,诱捕狼群的喂食处,campaign_02_03
Bodengruben,pit traps,,,,,,,,,陷阱坑,,,,,,,,,,建筑,藏匿的捕狼陷阱,campaign_02_03
Eisenspeerträger,iron spearmen,,,,,,,,,铁矛兵,,,,,,,,,,军事,拜占庭重装兵种,campaign_02_03
Kurzschwertkämpfer,shortsword fighters,,,,,,,,,短剑士,,,,,,,,,,军事,拜占庭近战兵种,campaign_02_03
Hafenstädtchen,Port,,,,,,,,,港口小镇,,,,,,,,,,地名,法兰克人小港口,campaign_02_03
Massiv,Massiv,,,,,,,,,山岩,,,,,,,,,,地名,西部山体,campaign_02_03
Talsenke,Talsenke,,,,,,,,,谷地,,,,,,,,,,地名,山岩中的低洼地,campaign_02_03
Fenriskette,Fenrir's Chain,,,,,,,,,芬里尔链,,,,,,,,,,物品,束缚芬里尔狼的魔法锁链,campaign_02_04
Ingredienz,ingredient,,,,,,,,,原料,,,,,,,,,,物品,锻造锁链所需的魔法成分,campaign_02_04
Schwerter der Könige,Swords of the Kings,,,,,,,,,王者之剑,,,,,,,,,,物品,三王之剑，锁链基石,campaign_02_04
Druiden,Druiden,,,,,,,,,德鲁伊,,,,,,,,,,种族,灰袍德鲁伊，祝圣者,campaign_02_04
Ketten schmieden,forge chains,,,,,,,,,锻造锁链,,,,,,,,,,动作,用王者之剑锻造芬里尔链,campaign_02_04
weihen,consecrate,,,,,,,,,祝圣,,,,,,,,,,动作,为锁链赋予魔力,campaign_02_04
Kräuter,herbs,,,,,,,,,草药,,,,,,,,,,物品,修道院福祉贡品,campaign_02_04
Münzen,coins,,,,,,,,,硬币,,,,,,,,,,物品,货币单位,campaign_02_04
Strudel,whirlpool,,,,,,,,,漩涡,,,,,,,,,,自然,湖心大漩涡,campaign_02_04
Gruft,tomb,,,,,,,,,墓室,,,,,,,,,,建筑,地下墓穴中的墓室,campaign_02_04-sub1
Schließmechanismen,locking mechanisms,,,,,,,,,闭锁机关,,,,,,,,,,建筑,墓穴门扉的锁定机制,campaign_02_04-sub1
Buchten,Buchten,,,,,,,,,小湾,,,,,,,,,,地名,墓穴中的水湾,campaign_02_04-sub1
Insel der Schweigsamen,Island of the Silent Ones,,,,,,,,,寂静之岛,,,,,,,,,,地名,独角兽所在的谜题岛,campaign_02_04-sub2
Snoori Sturlarson,Snoori Sturlarson,,,,,,,,,斯努里·斯图拉松,,,,,,,,,,人名,谜题干扰项,campaign_02_04-sub2
Erick Gunnarson,Erick Gunnarson,,,,,,,,,埃里克·贡纳松,,,,,,,,,,人名,谜题干扰项,campaign_02_04-sub2
Leif Erickson,Leif Erickson,,,,,,,,,莱夫·埃里克松,,,,,,,,,,人名,比雅尼之父（谜题答案）,campaign_02_04-sub2
Böse Wolf,Big Bad Wolf,,,,,,,,,恶狼,,,,,,,,,,神话,童话中的大恶狼,campaign_02_04-sub2
Geißlein,little goats,,,,,,,,,小羊,,,,,,,,,,生物,童话中的小山羊,campaign_02_04-sub2
Wüstenschiff,ship of the desert,,,,,,,,,沙漠之舟,,,,,,,,,,物品,骆驼的别称,campaign_02_04-sub2
Beduinenschaukler,Bedouin rocker,,,,,,,,,贝都因摇床,,,,,,,,,,物品,谜题干扰项,campaign_02_04-sub2
Fladenscheißer,flatbread pooper,,,,,,,,,饼屎客,,,,,,,,,,物品,谜题干扰项（诙谐）,campaign_02_04-sub2
Fenrishorden,Fenrir's Hordes,,,,,,,,,芬里尔部众,,,,,,,,,,生物,芬里尔狼率领的狼群,campaign_02_05
Langschwertträger,longsword fighters,,,,,,,,,长剑士,,,,,,,,,,军事,法兰克重装兵种,campaign_02_05
Tränke,healing potions,,,,,,,,,药剂,,,,,,,,,,物品,增益药水,campaign_02_05
Amuletten,amulets,,,,,,,,,护符,,,,,,,,,,物品,魔法护身符,campaign_02_05
Sümpfe,swamps,,,,,,,,,沼泽,,,,,,,,,,地名,狼群盘踞的湿地,campaign_02_05
Aura,Aura,,,,,,,,,光环,,,,,,,,,,神话,芬里尔狼周围的魔法光环,campaign_02_05
Weltenesche,World Ash,,,,,,,,,世界树,,,,,,,,,,神话,北欧宇宙树（同 Yggdrasil）,campaign_02_06
Yggdrasils Orden,Order of Yggdrasil,,,,,,,,,尤克特拉希尔之序,,,,,,,,,,组织,守护世界树的教团,campaign_02_06
Unterwelt,underworld,,,,,,,,,冥界,,,,,,,,,,神话,死亡国度入口,campaign_02_06
Asen,Aesir,,,,,,,,,阿萨神族,,,,,,,,,,神话,北欧神话，以奥丁为首的神族,campaign_02_07-sub
Eiswelt,Eiswelt,,,,,,,,,冰世界,,,,,,,,,,地名,北欧神话，阿斯加德中被冰封的世界,campaign_02_07-sub
Wyonäzer,Wyonäzer,,,,,,,,,维奥纳泽,,,,,,,,,,神话,北欧神话，酿造冰饮的矮人族,campaign_02_08
Freya,Freya,,,,,,,,,弗蕾亚,,,,,,,,,,神话人物,北欧神话，爱与战争女神,campaign_02_08
Baldur,Baldur,,,,,,,,,巴德尔,,,,,,,,,,神话人物,北欧神话，光明与治愈之神，奥丁之子,campaign_02_08
Thor,Thor,,,,,,,,,托尔,,,,,,,,,,神话人物,北欧神话，雷神，保护之力显于雷电,campaign_02_08
Frigg,Frigg,,,,,,,,,弗丽嘉,,,,,,,,,,神话人物,北欧神话，奥丁之妻，爱之女神,campaign_02_08
Njörd,Njord,,,,,,,,,尼奥尔德,,,,,,,,,,神话人物,北欧神话，风与海之神,campaign_02_08
Eiskrieger,ice warriors,,,,,,,,,冰战士,,,,,,,,,,军事,冰之神明赐予的勇猛战士,campaign_02_08
Hel,Hel,,,,,,,,,海尔,,,,,,,,,,神话人物,北欧神话，死亡女神，海尔之国的统治者,campaign_02_08
Vagabunden,Vagabonds,,,,,,,,,流浪者,,,,,,,,,,种族,盘踞山中、劫持建筑师的流浪匪帮,campaign_03_01
Architekt,Architect,,,,,,,,,建筑师,,,,,,,,,,职业,建造世界奇迹的工匠,campaign_03_01
Weltwunder,Wonder of the World,,,,,,,,,世界奇迹,,,,,,,,,,概念,古代世界七大奇迹，重建以驱散黑暗,campaign_03_01
Obelisk,Obelisk,,,,,,,,,方尖碑,,,,,,,,,,建筑,环绕魔法传送场的高大石柱,campaign_03_01
heiliges Feuer,Holy Fire,,,,,,,,,圣火,,,,,,,,,,物品,法罗斯灯塔顶端所需的神圣之火,campaign_03_01
Leuchtturm,Lighthouse,,,,,,,,,灯塔,,,,,,,,,,建筑,法罗斯灯塔，世界奇迹之一,campaign_03_01
Nil,Nile,,,,,,,,,尼罗河,,,,,,,,,,地名,埃及母亲河,campaign_03_01
Byzantiner,Byzantines,,,,,,,,,拜占庭人,,,,,,,,,,种族,守卫吉萨金字塔的族群,campaign_03_01
Ägypter,Egyptians,,,,,,,,,埃及人,,,,,,,,,,种族,守卫吉萨金字塔的族群,campaign_03_01
Drachenfutter,Dragon Feed,,,,,,,,,龙饲料,,,,,,,,,,物品,流浪者豢养巨龙所需的口粮,campaign_03_01
Sostratos Vater,Sostratos' Father,,,,,,,,,索斯特拉托斯之父,,,,,,,,,,角色,同为建筑师，悬赏寻子,campaign_03_01
Bergvolkarbeiter,Mountain Tribe Worker,,,,,,,,,山地部族矿工,,,,,,,,,,角色,圣火矿井中的山地部族劳工,campaign_03_01_sub
Euphrat,Euphrates,,,,,,,,,幼发拉底河,,,,,,,,,,地名,古河床，新聚落所在地,campaign_03_02
Nebukadnezar,Nebuchadnezzar,,,,,,,,,尼布甲尼撒,,,,,,,,,,人名,巴比伦王，为王后建空中花园,campaign_03_02
Hirtenvolk,Herdsmen,,,,,,,,,牧民部族,,,,,,,,,,种族,沙漠中安分的牧民,campaign_03_02
Helios,Helios,,,,,,,,,赫利俄斯,,,,,,,,,,神话,太阳神，巨像敬奉对象,campaign_03_03
Poseidon,Poseidon,,,,,,,,,波塞冬,,,,,,,,,,神话,海神，制造迷雾,campaign_03_03
Bakshish,Bakshish,,,,,,,,,巴克希什,,,,,,,,,,人名,沙漠商人,campaign_03_03
Chronos,Chronos,,,,,,,,,克洛诺斯,,,,,,,,,,人名,武器商岛主,campaign_03_03
Oxos,Oxos,,,,,,,,,奥克索斯,,,,,,,,,,人名,手推车商人,campaign_03_03
Oxidos,Oxidos,,,,,,,,,奥克西多斯,,,,,,,,,,地名,罗德附近小岛,campaign_03_03
Ägäis,Aegean,,,,,,,,,爱琴海,,,,,,,,,,地名,地中海海域,campaign_03_03
Goldbarren,Gold Bar,,,,,,,,,金条,,,,,,,,,,物品,贵重建材/贡品,campaign_03_03
Circe,Circe,,,,,,,,,喀耳刻,,,,,,,,,,神话,女巫，太阳神赫利俄斯之女,campaign_03_03_sub3
Perse,Perse,,,,,,,,,珀耳塞,,,,,,,,,,神话,月神，喀耳刻之母,campaign_03_03_sub3
Pyramiden,pyramids,,,,,,,,,金字塔,,,,,,,,,,建筑,古埃及帝王陵墓,campaign_03_07
Tal der Könige,Valley of the Kings,,,,,,,,,国王谷,,,,,,,,,,地名,帝王陵墓群,campaign_03_07
Pharao,pharaoh,,,,,,,,,法老,,,,,,,,,,身份,古埃及君王,campaign_03_07
Cheops,Cheops,,,,,,,,,胡夫,,,,,,,,,,人名,第四王朝法老，大金字塔建造者,campaign_03_07
Chepren,Chepren,,,,,,,,,哈夫拉,,,,,,,,,,人名,第四王朝法老，第二金字塔建造者,campaign_03_07
Mykerinos,Mykerinos,,,,,,,,,门卡拉,,,,,,,,,,人名,第四王朝法老，第三金字塔建造者,campaign_03_07
Magier,mage,,,,,,,,,魔法师,,,,,,,,,,身份,调制昏睡汤药的术士,campaign_03_07
Moorvolk,swamp tribe,,,,,,,,,沼泽部族,,,,,,,,,,部族,居岛之沼泽智者，藏神庙圣物,campaign_03_08
Napalianer,,,,,,,,,,纳帕利亚人,,,,,,,,,,种族,纳帕利亚民族（Napalianer/Nabalianer/Kabalianer 异拼统一）,_campaign_04
Nabalianer,,,,,,,,,,纳帕利亚人,,,,,,,,,,种族,纳帕利亚民族异拼（同 Napalianer）,_campaign_04
Kabalianer,,,,,,,,,,纳帕利亚人,,,,,,,,,,种族,纳帕利亚民族异拼（同 Napalianer）,_campaign_04
Mädchen,,,,,,,,,,女孩,,,,,,,,,,通用,女孩,_campaign_04
Junge,,,,,,,,,,男孩,,,,,,,,,,通用,男孩,_campaign_04
Erdrache,,,,,,,,,,地龙,,,,,,,,,,生物,地龙（Earth Dragon）,_campaign_04_05
Torumannen,,,,,,,,,,托鲁曼人,,,,,,,,,,种族,托鲁曼民族,_campaign_04
Waldhüter,,,,,,,,,,森林守护者,,,,,,,,,,种族,森林守护者,_campaign_04
Borkenzahn,,,,,,,,,,博肯扎恩,,,,,,,,,,人名,森林守护者角色,_campaign_04
Weidentreu,,,,,,,,,,韦登特罗伊,,,,,,,,,,人名,森林守护者角色,_campaign_04
Rapslieschen,,,,,,,,,,拉普斯丽申,,,,,,,,,,人名,森林守护者角色,_campaign_04
Guckfix,,,,,,,,,,古克菲克斯,,,,,,,,,,人名,角色名,_campaign_04
Dunkeldrachen,,,,,,,,,,暗龙,,,,,,,,,,生物,暗龙,_campaign_04
Sümpfe des Vergessens,,,,,,,,,,遗忘沼泽,,,,,,,,,,地名,遗忘沼泽,_campaign_04
zappendustere Höhle,,,,,,,,,,幽暗洞穴,,,,,,,,,,地名,幽暗洞穴,_campaign_04
Wachtränke,,,,,,,,,,守夜药剂,,,,,,,,,,物品,守夜药剂（消耗品）,_campaign_04
Feuerkristall,,,,,,,,,,火水晶,,,,,,,,,,物品,火水晶,_campaign_04
Regenbogenraum,,,,,,,,,,彩虹之厅,,,,,,,,,,地名,彩虹之厅,_campaign_04
Waldtempelwächter,,,,,,,,,,森林神庙守卫,,,,,,,,,,职业,森林神庙守卫,_campaign_04
Waldposten,,,,,,,,,,森林哨站,,,,,,,,,,地名,森林哨站,_campaign_04
Palmenhain,,,,,,,,,,棕榈林,,,,,,,,,,地名,棕榈林,_campaign_04
Giftdrachen,,,,,,,,,,毒龙,,,,,,,,,,生物,毒龙,_campaign_04
Teleporter,,,,,,,,,,传送装置,,,,,,,,,,物品,传送装置,_campaign_04
Nixe,,,,,,,,,,尼刻斯,,,,,,,,,,生物,水妖/宁芙,_campaign_04
Welle,,,,,,,,,,薇蕾,,,,,,,,,,人名,角色名（水相关）,_campaign_04
Kerker,,,,,,,,,,地牢,,,,,,,,,,地名,地牢,_campaign_04
Friedhof,,,,,,,,,,墓地,,,,,,,,,,地名,墓地,_campaign_04
Gulp,,,,,,,,,,古尔普,,,,,,,,,,人名,角色名,_campaign_04
Wasserfälle,,,,,,,,,,瀑布,,,,,,,,,,地名,瀑布,_campaign_04
Wasserkraftwerk,,,,,,,,,,水力发电站,,,,,,,,,,建筑,水力发电站,_campaign_04
orangene Drachen,,,,,,,,,,橙色龙,,,,,,,,,,生物,橙色龙,_campaign_04
Brieftauben,,,,,,,,,,信鸽,,,,,,,,,,生物,信鸽,_campaign_04
Babul,,,,,,,,,,巴布尔,,,,,,,,,,人名,角色名,_campaign_04
Obeliskenkreis,,,,,,,,,,方尖碑圈,,,,,,,,,,地名,方尖碑圈,_campaign_04
Unsichtbarkeitstrank,,,,,,,,,,隐形药剂,,,,,,,,,,物品,隐形药剂,_campaign_04
Sprudel,,,,,,,,,,斯普鲁德尔,,,,,,,,,,人名,角色名（水相关）,_campaign_04
Plünderer,,,,,,,,,,劫掠者,,,,,,,,,,通用,劫掠者（Trupp Plünderer 指劫掠者队伍）,campaign_01_02-sub
Priester,,,,,,,,,,牧师,,,,,,,,,,职业,牧师/神父,campaign_01_02-sub
FREIE WELT,,,,,,,,,,自由世界,,,,,,,,,,模式,自由世界/沙盒模式（Freie Welt）,singleplayer_01_01
Oberkircher,,,,,,,,,,奥伯基尔希,,,,,,,,,,人名,家族/派系名（Oberkirch 音译）,singleplayer_01_01
Mülheimer,,,,,,,,,,米尔海姆人,,,,,,,,,,人名,家族/派系名（Mülheim 居民，米尔海姆人）,singleplayer_01_01
Ratinger,,,,,,,,,,拉廷根,,,,,,,,,,人名,家族/派系名（Ratingen 音译）,singleplayer_01_01
Rheinländer,,,,,,,,,,莱茵兰人,,,,,,,,,,人名,家族/派系名（Rheinland 居民，莱茵兰人）,singleplayer_01_01
Rheinlaender,,,,,,,,,,莱茵兰人,,,,,,,,,,人名,家族/派系名异拼（同 Rheinländer）,singleplayer_01_01
INSELREICH,,,,,,,,,,岛屿王国,,,,,,,,,,模式,岛屿王国（Inselreich，沙盒/挑战模式）,singleplayer_01_06
Inselkönig,,,,,,,,,,岛王,,,,,,,,,,人名,岛屿王国中的君主（Inselkönig）,singleplayer_01_06
Königskinder,,,,,,,,,,王室子孙,,,,,,,,,,人名,王室子孙/国王子女,singleplayer_01_06
Friedensvertrag,,,,,,,,,,和平条约,,,,,,,,,,物品,和平条约（任务目标）,singleplayer_01_07
Schwertkämpfer,,,,,,,,,,剑士,,,,,,,,,,军事,剑士单位,singleplayer_01_07
Bogenschütze,,,,,,,,,,弓箭手,,,,,,,,,,军事,弓箭手单位,singleplayer_01_07
Speerträger,,,,,,,,,,矛兵,,,,,,,,,,军事,矛兵单位,singleplayer_01_07
Friedenszahlung,,,,,,,,,,和平贡金,,,,,,,,,,物品,和平贡金（任务奖励）,singleplayer_01_07
Freundschaftszahlung,,,,,,,,,,友谊贡金,,,,,,,,,,物品,友谊贡金（任务奖励）,singleplayer_01_07
Sklaven,,,,,,,,,,奴隶,,,,,,,,,,人物,奴隶,singleplayer_01_07
Außenposten,,,,,,,,,,前哨站,,,,,,,,,,地名,前哨站,singleplayer_01_07
DIE REBELLION,,,,,,,,,,叛乱,,,,,,,,,,专有名词,地图名 THE REBELLION,singleplayer_01_07
Landsleute,,,,,,,,,,同胞,,,,,,,,,,称谓,同胞／同乡,singleplayer_01_07
Söldner,,,,,,,,,,雇佣兵,,,,,,,,,,军事,雇佣兵,singleplayer_01_07
Goldminen,,,,,,,,,,金矿,,,,,,,,,,地名,金矿,singleplayer_01_07
Schreckensherrschaft,,,,,,,,,,恐怖统治,,,,,,,,,,专有名词,恐怖统治,singleplayer_01_07
Stadthalter,,,,,,,,,,总督,,,,,,,,,,官职,法兰克地方总督,singleplayer_01_07
Rebellen,,,,,,,,,,叛军,,,,,,,,,,军事,叛军,singleplayer_01_07
Friedensbotschaft,,,,,,,,,,和平书信,,,,,,,,,,物品,和平书信（任务目标）,singleplayer_01_07
Hexer,,,,,,,,,,巫师,,,,,,,,,,人名,巫师（地图角色 The Sorcerer）,singleplayer_01_08
DIE INSEL DER TOTEN,,,,,,,,,,亡者之岛,,,,,,,,,,专有名词,地图名 THE ISLE OF THE DEAD,singleplayer_01_08
Grabwächter,,,,,,,,,,守墓人,,,,,,,,,,军事,守墓人,singleplayer_01_08
Fluch,,,,,,,,,,诅咒,,,,,,,,,,专有名词,诅咒（岛屿的诅咒）,singleplayer_01_08
Ahnen,,,,,,,,,,祖先,,,,,,,,,,称谓,祖先／先祖,singleplayer_01_08
Steinkreis,,,,,,,,,,石环,,,,,,,,,,建筑,石环（远古陵墓标记）,singleplayer_01_08
Grab,,,,,,,,,,陵墓,,,,,,,,,,建筑,陵墓／坟墓,singleplayer_01_08
Ruinen,,,,,,,,,,废墟,,,,,,,,,,地名,废墟,singleplayer_01_08
Geister,,,,,,,,,,亡魂,,,,,,,,,,专有名词,亡魂／亡者之灵,singleplayer_01_08
Ehre,,,,,,,,,,敬意,,,,,,,,,,抽象,敬意／致意,singleplayer_01_08
Toter,,,,,,,,,,亡者,,,,,,,,,,称谓,亡者／逝者,singleplayer_01_08
Unachtsamkeit,,,,,,,,,,疏忽,,,,,,,,,,抽象,疏忽／粗心,singleplayer_01_08
König,,,,,,,,,,国王,,,,,,,,,,人名,国王,singleplayer_01_08
Wolfsjagd,,,,,,,,,,猎狼行动,,,,,,,,,,专有名词,猎狼行动（年度狩猎活动）,singleplayer_01_09
Jagd,,,,,,,,,,狩猎,,,,,,,,,,专有名词,狩猎／打猎,singleplayer_01_09
Ehrentitel,,,,,,,,,,荣誉称号,,,,,,,,,,专有名词,荣誉称号,singleplayer_01_09
Titel,,,,,,,,,,头衔,,,,,,,,,,专有名词,头衔／称号,singleplayer_01_09
Wettstreit,,,,,,,,,,较量,,,,,,,,,,抽象,较量／竞争,singleplayer_01_09
Verwicklungen,,,,,,,,,,纠葛,,,,,,,,,,抽象,（外交）纠葛／纷争,singleplayer_01_09
Stamm,,,,,,,,,,部族,,,,,,,,,,社会组织,部族／部落,singleplayer_01_09
Hauptstadt,,,,,,,,,,首都,,,,,,,,,,地名,首都／王城,singleplayer_01_09
Viehställe,,,,,,,,,,牲畜棚,,,,,,,,,,建筑,牲畜棚／畜栏,singleplayer_01_09
Abgaben,,,,,,,,,,赋税,,,,,,,,,,抽象,赋税／捐税,singleplayer_01_09
Konkurrenz,,,,,,,,,,竞争对手,,,,,,,,,,称谓,竞争对手／竞争者,singleplayer_01_09
Gerüchte,,,,,,,,,,风声,,,,,,,,,,抽象,风声／谣言,singleplayer_01_09
Angriff,,,,,,,,,,突袭,,,,,,,,,,军事,突袭／攻击,singleplayer_01_09
Sieg,,,,,,,,,,胜利,,,,,,,,,,抽象,胜利,singleplayer_01_09
Untertanen,,,,,,,,,,臣民,,,,,,,,,,称谓,臣民／百姓,singleplayer_01_09
Zeremonie,,,,,,,,,,典礼,,,,,,,,,,专有名词,典礼／仪式,singleplayer_01_09
Fest,,,,,,,,,,宴会,,,,,,,,,,通用,宴会／庆典,singleplayer_01_09
Geschenke,,,,,,,,,,礼物,,,,,,,,,,物品,礼物／礼品,singleplayer_01_09
Dorf,,,,,,,,,,村庄,,,,,,,,,,地名,村庄／村落,singleplayer_01_09
Fluss,,,,,,,,,,河,,,,,,,,,,地名,河流／河,singleplayer_01_09
Pomp,,,,,,,,,,排场,,,,,,,,,,抽象,排场／盛况,singleplayer_01_09
hinterhältig,,,,,,,,,,阴险,,,,,,,,,,抽象,阴险／卑鄙,singleplayer_01_09
König der Jagd,,,,,,,,,,狩猎之王,,,,,,,,,,专有名词,狩猎之王（年度狩猎称号）,singleplayer_01_09
Wikingerstämme,,,,,,,,,,维京部族,,,,,,,,,,社会组织,维京部族,multiplayer_batch
Grönländer,,,,,,,,,,格陵兰人,,,,,,,,,,种族,格陵兰人（部落名）,multiplayer_batch
Vinländer,,,,,,,,,,文兰人,,,,,,,,,,种族,文兰人（部落名）,multiplayer_batch
Wirtschaft,,,,,,,,,,经济,,,,,,,,,,专有名词,经济（地图类型）,multiplayer_batch
Diplomatie,,,,,,,,,,外交,,,,,,,,,,抽象,外交,multiplayer_batch
Handel,,,,,,,,,,贸易,,,,,,,,,,抽象,贸易,multiplayer_batch
Rohstoffe,,,,,,,,,,资源,,,,,,,,,,抽象,资源／原料,multiplayer_batch
Lager,,,,,,,,,,仓库,,,,,,,,,,建筑,仓库,multiplayer_batch
Schätze,,,,,,,,,,宝藏,,,,,,,,,,物品,宝藏／珍宝,multiplayer_batch
Siedlung,,,,,,,,,,聚落,,,,,,,,,,建筑,聚落／定居点,multiplayer_batch
Inselstämme,,,,,,,,,,岛上部族,,,,,,,,,,社会组织,岛上部族,multiplayer_batch
Herrschaft,,,,,,,,,,统治权,,,,,,,,,,抽象,统治权／霸权,multiplayer_batch
Vulkaninsel,,,,,,,,,,火山岛,,,,,,,,,,地名,火山岛,multiplayer_batch
Feuerflammen,,,,,,,,,,火舌,,,,,,,,,,自然,火山火舌,multiplayer_batch
Bergmassiv,,,,,,,,,,山脉,,,,,,,,,,地名,山脉,multiplayer_batch
Höhle,,,,,,,,,,洞穴,,,,,,,,,,建筑,洞穴,multiplayer_batch
Winter,,,,,,,,,,寒冬,,,,,,,,,,自然,寒冬／冬季,multiplayer_batch
Einbruch,,,,,,,,,,降临,,,,,,,,,,抽象,降临（冬季降临）,multiplayer_batch
Vorherrschaft,,,,,,,,,,霸权,,,,,,,,,,抽象,霸权／统治,multiplayer_batch
Stämme,,,,,,,,,,部族,,,,,,,,,,社会组织,部族（复数）,multiplayer_batch
Tributzahlungen,,,,,,,,,,贡金,,,,,,,,,,物品,贡金／赎金,multiplayer_batch
Hauptquartiersflagge,,,,,,,,,,主基地旗帜,,,,,,,,,,专有名词,主基地旗帜,multiplayer_batch
Inselflagge,,,,,,,,,,岛屿旗帜,,,,,,,,,,专有名词,岛屿旗帜,multiplayer_batch
Nachbarinsel,,,,,,,,,,邻岛,,,,,,,,,,地名,邻岛,multiplayer_batch
Ausgeschieden,,,,,,,,,,出局,,,,,,,,,,抽象,出局／淘汰,multiplayer_batch
Kartenmitte,,,,,,,,,,地图中央,,,,,,,,,,地名,地图中央,multiplayer_batch
Wettjagen,,,,,,,,,,赛跑,,,,,,,,,,抽象,大赛跑／竞赛,multiplayer_batch
Federvieh,,,,,,,,,,家禽,,,,,,,,,,动物,家禽,multiplayer_batch
Frühstückseier,,,,,,,,,,早餐蛋,,,,,,,,,,物品,早餐的蛋,multiplayer_batch
Jägermeister,,,,,,,,,,狩猎官,,,,,,,,,,官职,总狩猎官,multiplayer_batch
Schaltern,,,,,,,,,,开关,,,,,,,,,,物品,开关（机关）,multiplayer_batch
Startvorteil,,,,,,,,,,起步优势,,,,,,,,,,抽象,起步优势,multiplayer_batch
Wolfswald,,,,,,,,,,狼林,,,,,,,,,,地名,狼林,multiplayer_batch
Mechanismen,,,,,,,,,,机关,,,,,,,,,,物品,古老机关,multiplayer_batch
Regen,,,,,,,,,,雨,,,,,,,,,,自然,雨／雨之符,multiplayer_batch
Heiligen,,,,,,,,,,圣物,,,,,,,,,,物品,不朽圣物,multiplayer_batch
Unsterblichen,,,,,,,,,,不朽,,,,,,,,,,抽象,不朽（圣物）,multiplayer_batch
Briefe,,,,,,,,,,书信,,,,,,,,,,物品,书信（道具）,multiplayer_batch
Vieh,,,,,,,,,,牲畜,,,,,,,,,,动物,牲畜,multiplayer_batch
Schafe,,,,,,,,,,羊,,,,,,,,,,动物,羊,multiplayer_batch
Kühe,,,,,,,,,,牛,,,,,,,,,,动物,牛,multiplayer_batch
Flaggen,,,,,,,,,,旗帜,,,,,,,,,,专有名词,旗帜,multiplayer_batch
Burgen,,,,,,,,,,城堡,,,,,,,,,,建筑,城堡,multiplayer_batch
